HouseID,Price,SquareFeet,Bedrooms,Bathrooms,GarageSize,YearBuilt,LotSize,Stories,Fireplaces,Pool,Basement,RoofType,HeatingType,Cooling,Neighborhood,Condition,Renovated,DistanceToCityCenter,SchoolRating,Age
1,435000.0,1660,3,1.2,1,2005,12853,1,0,0,1,Shingle,Radiant,1,Rural,Good,0,27.8,10,20
2,825600.0,4572,1,1.5,2,1989,16184,1,1,1,0,Flat,HeatPump,1,Urban,Good,1,25.3,1,36
3,781000.0,3892,5,4.0,0,2008,7941,1,0,0,1,Flat,ForcedAir,1,Urban,Good,0,11.1,10,17
4,376800.0,1266,5,2.2,0,1961,10314,1,2,0,1,Metal,HeatPump,1,Suburban,Good,1,25.6,8,64
5,861600.0,4244,2,3.7,3,1965,17614,3,2,0,1,Shingle,Radiant,1,Rural,Very Good,1,15.4,8,60
6,784100.0,3971,4,1.5,1,2002,17069,2,0,0,0,Flat,ForcedAir,1,Suburban,Good,1,9.4,10,23
7,763600.0,3719,5,2.3,0,1990,7756,2,0,1,0,Shingle,Radiant,1,Suburban,Poor,1,8.9,7,35
8,285100.0,930,3,3.9,0,1969,12821,1,0,1,1,Metal,Radiant,1,Suburban,Very Good,1,15.9,1,56
9,529900.0,2485,4,1.3,0,1989,6368,1,2,0,0,Flat,HeatPump,1,Rural,Good,0,13.0,2,36
10,420400.0,1569,1,2.8,2,2010,13242,2,0,0,1,Metal,HeatPump,1,Urban,Good,0,30.0,2,15
11,674800.0,3191,4,3.8,2,1983,4300,3,0,0,1,Metal,ForcedAir,1,Suburban,Good,0,9.0,7,42
12,628400.0,3233,2,3.8,2,1968,6120,2,1,0,1,Shingle,ForcedAir,1,Urban,Fair,0,9.2,8,57
13,432300.0,1984,1,3.5,0,1994,3501,2,0,0,0,Metal,HeatPump,0,Suburban,Fair,0,22.2,6,31
14,812000.0,4185,5,3.6,2,1978,18874,2,1,0,0,Flat,ForcedAir,1,Suburban,Good,0,11.5,1,47
15,947300.0,4917,6,3.0,0,1968,4559,1,2,0,1,Shingle,Radiant,1,Suburban,Fair,0,16.5,10,57
16,714300.0,3704,1,1.7,2,2005,11647,1,1,0,0,Flat,Radiant,1,Suburban,Good,1,11.7,6,20
17,345900.0,1274,1,3.2,1,1976,15936,1,0,1,0,Metal,Baseboard,1,Suburban,Very Good,0,21.7,5,49
18,437400.0,1882,2,3.9,0,1951,4345,2,2,0,1,Metal,Radiant,1,Suburban,Good,0,17.1,7,74
19,693800.0,3358,3,2.6,3,1989,3162,2,0,0,1,Shingle,Radiant,1,Urban,Good,0,14.6,1,36
20,652300.0,2847,1,1.8,1,2014,3151,1,1,0,1,Tile,Radiant,0,Rural,Very Good,1,19.8,7,11
21,727000.0,3547,3,2.7,1,1957,4664,2,0,0,1,Tile,HeatPump,1,Suburban,Very Good,1,27.2,8,68
22,376300.0,1775,4,3.1,1,1976,9576,1,0,0,0,Tile,ForcedAir,1,Urban,Good,0,14.8,6,49
23,587500.0,2606,6,1.6,3,1979,13132,2,2,0,1,Metal,Baseboard,1,Urban,Very Good,1,4.1,5,46
24,314000.0,989,2,3.2,3,1974,10738,1,1,0,0,Shingle,HeatPump,1,Suburban,Good,1,14.6,1,51
25,695800.0,3534,5,2.8,3,1998,15910,2,2,0,0,Shingle,Baseboard,1,Suburban,Fair,0,14.2,3,27
26,826000.0,3805,1,2.8,2,2005,14833,2,1,0,1,Shingle,HeatPump,0,Urban,Good,1,19.9,10,20
27,655000.0,2699,6,1.9,2,2014,16471,1,1,0,1,Metal,ForcedAir,1,Urban,Good,1,23.6,2,11
28,566200.0,2067,6,1.5,1,1980,12945,2,2,1,1,Metal,Radiant,1,Suburban,Good,1,14.6,6,45
29,594800.0,2328,3,2.9,3,2009,6652,3,2,1,1,Flat,ForcedAir,1,Rural,Very Good,0,17.7,3,16
30,727400.0,4002,1,2.8,1,1983,18630,2,1,0,1,Flat,ForcedAir,1,Urban,Very Good,0,3.4,3,42
31,821700.0,4356,6,2.0,1,1966,6237,1,2,0,1,Flat,HeatPump,0,Urban,Good,0,25.0,6,59
32,893200.0,4690,2,1.9,3,2022,6655,1,2,0,1,Tile,ForcedAir,1,Suburban,Fair,0,19.4,7,3
33,440200.0,1446,5,2.0,2,1978,15553,1,2,0,1,Tile,ForcedAir,1,Urban,Good,1,7.9,8,47
34,766500.0,3688,4,2.5,1,2021,8796,1,2,0,0,Flat,Baseboard,1,Urban,Excellent,0,17.0,6,4
35,655000.0,3235,4,3.9,1,1955,19646,1,1,0,1,Metal,Radiant,1,Urban,Very Good,0,6.1,7,70
36,354100.0,1400,3,3.3,0,1955,5251,1,2,0,1,Flat,Baseboard,1,Rural,Very Good,0,18.1,7,70
37,672900.0,3163,6,3.6,3,1952,17410,1,2,0,1,Metal,Baseboard,1,Suburban,Good,0,29.5,2,73
38,578900.0,2861,4,2.5,1,1980,14975,2,2,0,1,Flat,Baseboard,1,Urban,Good,0,24.2,9,45
39,340600.0,1041,3,2.6,3,2001,11897,2,2,0,1,Tile,Radiant,1,Rural,Fair,1,3.0,4,24
40,543400.0,2841,5,1.6,0,1957,13679,2,2,0,1,Shingle,Baseboard,0,Suburban,Poor,0,14.3,5,68
41,654900.0,3624,1,3.2,3,1975,6579,1,0,0,0,Tile,ForcedAir,1,Suburban,Fair,0,25.7,1,50
42,706600.0,3412,2,2.3,0,1964,19891,1,0,0,1,Shingle,HeatPump,1,Rural,Good,1,11.3,9,61
