VehicleID,EngineSize,Cylinders,FuelType,Weight,DriveType,CityMPG,HighwayMPG,CombinedMPG,PetrolConsumptionL_100km
1,2.5,5,Diesel,2293,All-wheel Drive,17,25,20,11.35
2,4.8,3,Petrol,2245,Front-wheel Drive,21,41,30,7.89
3,3.9,4,Petrol,3207,Front-wheel Drive,30,40,34,6.98
4,3.4,6,Hybrid,5520,Front-wheel Drive,13,44,26,9.18
5,1.6,4,Hybrid,4393,Front-wheel Drive,30,49,38,6.56
6,1.6,8,Petrol,5239,Front-wheel Drive,30,36,32,6.78
7,1.2,4,Diesel,3639,Front-wheel Drive,22,34,27,8.83
8,4.5,6,Petrol,5476,Front-wheel Drive,12,29,19,12.21
9,3.4,4,Petrol,5487,Front-wheel Drive,29,22,25,8.14
10,3.8,8,Petrol,4648,All-wheel Drive,13,26,18,12.8
11,1.1,8,Petrol,5595,Rear-wheel Drive,17,48,30,7.57
12,4.9,4,Diesel,4648,Rear-wheel Drive,14,44,27,9.13
13,4.3,6,Petrol,5737,Rear-wheel Drive,31,21,26,9.67
14,1.8,6,Petrol,4083,Front-wheel Drive,11,32,20,12.07
15,1.7,4,Diesel,3039,All-wheel Drive,34,46,39,4.97
16,1.7,5,Petrol,4253,Front-wheel Drive,17,48,30,8.88
17,2.2,3,Petrol,3517,Rear-wheel Drive,33,33,33,7.68
18,3.1,6,Diesel,4721,Front-wheel Drive,14,23,18,13.03
19,2.7,4,Petrol,4928,All-wheel Drive,25,27,25,9.49
20,2.2,3,Petrol,5991,All-wheel Drive,30,24,27,8.95
21,3.4,4,Petrol,4759,Front-wheel Drive,24,31,27,8.76
22,1.6,4,Petrol,2986,All-wheel Drive,28,46,36,6.95
23,2.2,6,Diesel,4470,Rear-wheel Drive,22,43,31,8.31
24,2.5,8,Diesel,2959,All-wheel Drive,20,31,24,8.84
25,2.8,4,Petrol,4252,Front-wheel Drive,25,30,27,8.53
26,4.1,3,Petrol,2156,Front-wheel Drive,27,21,24,9.99
27,1.8,6,Hybrid,3438,All-wheel Drive,34,47,39,5.39
28,3.1,4,Petrol,2830,Front-wheel Drive,24,43,32,8.41
29,3.4,4,Petrol,2298,All-wheel Drive,15,41,26,7.71
30,1.2,4,Hybrid,2018,Front-wheel Drive,17,24,20,11.41
31,3.4,4,Hybrid,3522,Front-wheel Drive,13,32,21,11.54
32,1.7,4,Petrol,4185,Rear-wheel Drive,30,37,33,8.25
33,1.3,6,Petrol,5639,Front-wheel Drive,25,42,32,7.5
34,4.8,4,Petrol,2699,All-wheel Drive,30,36,32,7.65
35,4.9,6,Petrol,2042,Front-wheel Drive,20,49,33,6.85
36,4.2,4,Diesel,4351,Front-wheel Drive,29,25,27,9.71
37,2.2,4,Petrol,4343,Rear-wheel Drive,11,38,23,11.08
38,1.4,6,Petrol,5361,All-wheel Drive,31,41,35,7.14
39,3.7,4,Petrol,5437,All-wheel Drive,13,36,23,8.99
40,2.8,4,Hybrid,2624,Front-wheel Drive,23,36,28,8.46
41,1.5,5,Petrol,4416,Rear-wheel Drive,20,37,27,8.39
42,3.0,4,Petrol,3152,Rear-wheel Drive,13,45,27,8.71
43,1.1,6,Hybrid,3298,Front-wheel Drive,12,34,21,10.96
44,4.6,4,Petrol,5328,Rear-wheel Drive,33,42,37,6.57
45,2.0,6,Petrol,2375,All-wheel Drive,31,47,38,5.88
46,3.7,3,Petrol,3111,Front-wheel Drive,34,49,40,5.75
